南,2室2厅1卫,中层,88.3, 13024 ,精装修,115, 罗马假日,金水 汽配大世界,2000年,有,个人产权,普通住宅,平层,板楼,2022-03-26
南北,2室1厅1卫,高层,78.74, 14605 ,毛坯,115, 领创天誉华庭,中原 五龙口,2000年,有,个人产权,普通住宅,平层,砖楼,2022-03-06
南北,2室1厅1卫,高层,78.74, 14605 ,毛坯,115, 领创天誉华庭,中原 五龙口,2000年,有,个人产权,普通住宅,平层,砖楼,2022-03-06
南,2室0厅1卫,中层,40.38, 20307 ,精装修,82, 数码公寓,金水 文博广场,null,有,个人产权,普通住宅,平层,板楼,2022-03-24
南,2室0厅1卫,中层,40.38, 20307 ,精装修,82, 数码公寓,金水 文博广场,null,有,个人产权,普通住宅,平层,板楼,2022-03-24
南,3室2厅1卫,低层,89, 12584 ,精装修,112, 正商河峪洲,惠济 邙山,2000年,有,个人产权,普通住宅,null,砖楼,2022-03-28
南北,3室2厅1卫,中层,103, 13058 ,简装修,134.5, 花园新村,金水 北站,null,有,商品房,普通住宅,平层,板楼,2022-04-07
南北,3室2厅1卫,中层,103, 13058 ,简装修,134.5, 花园新村,金水 北站,null,有,商品房,普通住宅,平层,板楼,2022-04-07
南,3室1厅1卫,高层,89.53, 15414 ,精装修,138, 锦艺金水湾,金水 索凌路北段,2000年,有,个人产权,普通住宅,null,null,2022-03-25
南,3室1厅1卫,高层,89.53, 15414 ,精装修,138, 锦艺金水湾,金水 索凌路北段,2000年,有,个人产权,普通住宅,null,null,2022-03-25
东南,4室2厅2卫,高层,85.36, 15581 ,精装修,133, 鑫苑逸品香山,惠济 北大学城,2000年,有,个人产权,普通住宅,null,null,2022-04-10
东南,3室2厅1卫,中层,88.42, 15494 ,精装修,137, 锦艺金水湾,金水 索凌路北段,2000年,有,个人产权,普通住宅,平层,板楼,2022-03-25
东南,4室2厅2卫,高层,85.36, 15581 ,精装修,133, 鑫苑逸品香山,惠济 北大学城,2000年,有,个人产权,普通住宅,null,null,2022-04-10
东南,3室2厅1卫,中层,88.42, 15494 ,精装修,137, 锦艺金水湾,金水 索凌路北段,2000年,有,个人产权,普通住宅,平层,板楼,2022-03-25
南北,3室2厅1卫,低层,89, 9506 ,精装修,84.6, 融创空港宸院,航空港区 航空港,2019年,有,个人产权,普通住宅,平层,砖楼,2022-03-15
北,3室1厅1卫,低层,87.16, 15948 ,精装修,139, 锦艺金水湾,金水 索凌路北段,2000年,有,个人产权,普通住宅,null,null,2022-03-25
北,1室0厅1卫,低层,49.05, 16514 ,中装修,81, 嘉辰时代公寓,金水 枣庄,null,无,商品房,普通住宅,平层,板楼,2022-04-15
南北,3室2厅1卫,高层,107, 11215 ,中装修,120, 正商园田花园,金水 海洋馆,null,无,商品房,普通住宅,平层,板楼,2022-04-10
南北,4室2厅2卫,低层,142.89, 17636 ,毛坯,252, 锦艺金水湾,金水 索凌路北段,2019年,无,个人产权,普通住宅,平层,板楼,2022-04-10
南北,4室2厅2卫,低层,142.89, 17636 ,毛坯,252, 锦艺金水湾,金水 索凌路北段,2019年,无,个人产权,普通住宅,平层,板楼,2022-04-10
南北,2室2厅1卫,高层,95, 17158 ,中装修,163, 圣菲城一期,金水 徐寨,null,有,商品房,普通住宅,平层,板楼,2022-04-14
南北,3室2厅2卫,低层,129.67, 16658 ,精装修,216, 电建泷悦华庭,经开 第八大街,2021年,有,个人产权,普通住宅,平层,砖楼,2022-03-15
南北,2室1厅1卫,中层,89, 14607 ,简装修,130, 森林阳光花园,金水 汽配大世界,null,有,商品房,普通住宅,平层,板楼,2022-04-08
南北,4室2厅2卫,高层,142, 19014 ,毛坯,270, 融创城开瓏府一期,金水 索凌路北段,2019年,无,个人产权,普通住宅,平层,砖楼,2022-02-13
南北,4室2厅2卫,高层,142, 19014 ,毛坯,270, 融创城开瓏府一期,金水 索凌路北段,2019年,无,个人产权,普通住宅,平层,砖楼,2022-02-13
南,3室2厅2卫,中层,114.86, 20895 ,精装修,240, 美盛教育港湾,金水 陈寨,2021年,无,个人产权,普通住宅,平层,砖楼,2022-03-10
南,1室2厅1卫,高层,61.76, 13277 ,毛坯,82, 风和朗庭,中原 热电厂,2022年,有,个人产权,普通住宅,平层,砖楼,2022-04-12
南北,3室2厅2卫,中层,123, 15447 ,精装修,190, 青风公园,经开 第八大街,2000年,有,个人产权,普通住宅,null,null,2022-03-15
南,1室2厅1卫,高层,61.76, 13277 ,毛坯,82, 风和朗庭,中原 热电厂,2022年,有,个人产权,普通住宅,平层,砖楼,2022-04-12
南,2室2厅1卫,中层,88.3, 13024 ,精装修,115, 罗马假日,金水 汽配大世界,2000年,有,个人产权,普通住宅,平层,板楼,2022-03-26
南,2室2厅1卫,中层,88.3, 13024 ,精装修,115, 罗马假日,金水 汽配大世界,2000年,有,个人产权,普通住宅,平层,板楼,2022-03-26
南北,3室2厅1卫,高层,120.17, 13897 ,简装修,167, 华瑞紫桂苑,金水 海洋馆,2000年,有,个人产权,普通住宅,null,塔楼,2022-04-11
南,3室2厅1卫,高层,87.22, 15478 ,毛坯,135, 锦艺金水湾,金水 索凌路北段,2000年,有,个人产权,普通住宅,null,null,2022-03-25
南,2室2厅1卫,低层,89.21, 17151 ,精装修,153, 天伦星钻,金水 未来大厦,2000年,有,个人产权,普通住宅,平层,板楼,2022-03-21
南,3室2厅1卫,高层,87.22, 15478 ,毛坯,135, 锦艺金水湾,金水 索凌路北段,2000年,有,个人产权,普通住宅,null,null,2022-03-25
南,2室2厅1卫,低层,89.21, 17151 ,精装修,153, 天伦星钻,金水 未来大厦,2000年,有,个人产权,普通住宅,平层,板楼,2022-03-21
南,2室2厅1卫,中层,87, 13793 ,中装修,120, 金印阳光城,金水 汽配大世界,null,无,商品房,普通住宅,平层,板楼,2022-04-13
南北,3室2厅1卫,中层,89.01, 13257 ,精装修,118, 谦祥时光序,惠济 刘寨,2019年,有,个人产权,普通住宅,平层,板楼,2022-04-10
南北,3室2厅1卫,中层,89.01, 13257 ,精装修,118, 谦祥时光序,惠济 刘寨,2019年,有,个人产权,普通住宅,平层,板楼,2022-04-10
南,2室2厅1卫,中层,87, 13793 ,中装修,120, 金印阳光城,金水 汽配大世界,null,无,商品房,普通住宅,平层,板楼,2022-04-13
南北,4室2厅2卫,低层,142.92, 15883 ,毛坯,227, 建业花园里紫薇苑,惠济 北大学城,2000年,有,个人产权,普通住宅,null,板楼,2022-04-11
南北,2室1厅1卫,高层,78.74, 14605 ,毛坯,115, 领创天誉华庭,中原 五龙口,2000年,有,个人产权,普通住宅,平层,砖楼,2022-03-06
南北,4室2厅2卫,低层,142.92, 15883 ,毛坯,227, 建业花园里紫薇苑,惠济 北大学城,2000年,有,个人产权,普通住宅,null,板楼,2022-04-11
南北,5室2厅3卫,高层,210, 13571 ,精装修,285, 宏都花园,金水 枣庄,null,有,商品房,普通住宅,平层,板楼,2022-04-07
南北,4室2厅2卫,高层,153.29, 13569 ,精装修,208, 金阳光居易,金水 富田大厦,2000年,有,个人产权,普通住宅,null,null,2022-03-26
西南,3室2厅1卫,高层,93.7, 16329 ,简装修,153, 和昌悦澜,金水 新北站,2000年,有,个人产权,普通住宅,null,板楼,2022-04-11
西南,3室2厅1卫,高层,93.7, 16329 ,简装修,153, 和昌悦澜,金水 新北站,2000年,有,个人产权,普通住宅,null,板楼,2022-04-11
南北,3室2厅1卫,低层,110.02, 15179 ,简装修,167, 嘉和园,金水 北站,null,无,商品房,普通住宅,平层,板楼,2022-04-11
南北,3室2厅1卫,低层,89.01, 13369 ,精装修,119, 谦祥时光序,惠济 刘寨,2019年,有,个人产权,普通住宅,平层,板楼,2022-04-09
南北,3室2厅1卫,低层,93, 17204 ,中装修,160, 金晨嘉园,金水 陈寨,null,有,个人产权,普通住宅,平层,板楼,2022-04-13
南北,3室2厅1卫,低层,93, 17204 ,中装修,160, 金晨嘉园,金水 陈寨,null,有,个人产权,普通住宅,平层,板楼,2022-04-13
南北,4室2厅2卫,高层,126.4, 18196 ,精装修,230, 瀚宇天悦,金水 索凌路北段,2000年,有,个人产权,普通住宅,null,null,2022-04-11
南北,3室2厅2卫,中层,176, 11648 ,精装修,205, 金成宜家美景,金水 财富广场,null,有,商品房,普通住宅,平层,板楼,2022-03-20
南北,4室2厅2卫,高层,126.4, 18196 ,精装修,230, 瀚宇天悦,金水 索凌路北段,2000年,有,个人产权,普通住宅,null,null,2022-04-11
南北,3室2厅1卫,低层,90.17, 15803 ,精装修,142.5, 美景麟起城,惠济 北大学城,2000年,有,个人产权,普通住宅,null,null,2022-03-28
南北,3室2厅1卫,低层,90.17, 15803 ,精装修,142.5, 美景麟起城,惠济 北大学城,2000年,有,个人产权,普通住宅,null,null,2022-03-28
南北,3室2厅2卫,高层,130, 15154 ,毛坯,197, 迎宾路3号住宅,惠济 北大学城,null,无,商品房,普通住宅,平层,板楼,2022-04-15
南北,3室2厅2卫,高层,130, 15154 ,毛坯,197, 迎宾路3号住宅,惠济 北大学城,null,无,商品房,普通住宅,平层,板楼,2022-04-15
南北,3室2厅2卫,高层,130, 15154 ,毛坯,197, 迎宾路3号住宅,惠济 北大学城,null,无,商品房,普通住宅,平层,板楼,2022-04-15
南北,3室2厅2卫,高层,144, 13681 ,精装修,197, 罗马假日,金水 汽配大世界,2000年,有,个人产权,普通住宅,null,板楼,2022-03-26
南北,3室2厅2卫,高层,144, 13681 ,精装修,197, 罗马假日,金水 汽配大世界,2000年,有,个人产权,普通住宅,null,板楼,2022-03-26
南北,3室2厅2卫,高层,144, 13681 ,精装修,197, 罗马假日,金水 汽配大世界,2000年,有,个人产权,普通住宅,null,板楼,2022-03-26
南,1室1厅1卫,低层,44.69, 8727 ,精装修,39, 好莱坞国际公寓,金水 枣庄,2000年,有,个人产权,普通住宅,null,塔楼,2022-04-03
南,2室2厅1卫,高层,89, 15169 ,精装修,135, 山顶御鑫城,金水 北站,null,有,商品房,普通住宅,平层,板楼,2022-04-13
南,2室2厅1卫,中层,97.58, 16602 ,豪华装修,162, 正弘旗,金水 枣庄,null,无,商品房,普通住宅,平层,板楼,2022-03-17
南,2室2厅1卫,中层,97.58, 16602 ,豪华装修,162, 正弘旗,金水 枣庄,null,无,商品房,普通住宅,平层,板楼,2022-03-17
南北,4室2厅2卫,中层,140, 29286 ,精装修,410, 万科美景世玠,金水 沙口路,null,有,商品房,普通住宅,平层,板楼,2022-04-13
南,2室0厅1卫,中层,40.38, 20307 ,精装修,82, 数码公寓,金水 文博广场,null,有,个人产权,普通住宅,平层,板楼,2022-03-24
